хъупцӏ	χʷ ə p t͡sʼ
пыгъэтэкъун	p ə ʁ a t a qʷ ə n
цӏыон	t͡sʼ ə w a n
лъэкӏ	ɬ a t͡ʃʼ n
псӏын	p sʼ ə n
шӏыжьын	ʃ ə ʑ ə n
хъяркӏэ	χ ə j aː r t͡ʃʼ a
зэшӏохын	z a ʃʷʼ a x ə n
къазгъыр	q aː z ʁ ə r
ахын	aː x ə n
хьау	ħ a w
лъапэ	ɬ aː p a
мэлхъогъ	m a l χʷ a ʁ
енэу	j a n a w
тенэн	t a j n a n
деусын	d a j s ə n
тэӏэн	t a ʔ a n
дыйдалхь	d ə j d aː l ħ
чӏытхъыцэхэр	t͡ʃ ə t χ ə t͡s a x a r
ӏэщхьэ	ʔ a ɕ ħ a
хьанцэ	ħ a n t͡s a
мэшӏухъогъон	m a ʃʷʼ ə χʷ ə ʁʷ a n
мэтӏыгъо	m a t ə ʁʷ a
бгъодж	b ʁʷ a d͡ʒ
шӏокӏон	ʃʷʼ a kʷʼ a n
гъэсэкӏэн	ʁ a s a t͡ʃʼ a n
чъэныр	t͡ʃ a n ə r
налэ	n aː l a
гъэӏортӏэн	ʁ a ʔʷ a r tʼ a n
хэгъэдэн	x a ʁ a d a n
бзакӏо	b z aː kʷʼ a
гупшысэн	ɡʷ ə p ʃ ə s a n
шъхьэатынгъэ	ʂ ħ a ʔ aː t ə n ʁ a
быдзы	b ə d͡z ə
тӏурытӏу	tʷʼ ə r ə tʷʼ
гъэшъхъэшъхъэн	ʁ a ʂ χ a ʂ χ a n
лъэгуц	ɬ a ɡʷ ə t͡s
псыгъэхъун	p s ə ʁ a χʷ ə n
шъыдэу	ʂ ə d a w
хэкӏ	x a t͡ʃʼ
шӏэпэн	ʃʼ a p a n
ӏумпэм	ʔʷ a m p a m
утӏэтӏэн	w ə tʼ a tʼ a n
жэрыплъагъ	ʒ a r ə p ɬ aː ʁ
джадэ	d͡ʒ aː d a
шэпсэун	ʃ a p s a w ə n
пщынэжь	p ɕ ə n a ʑ
шъхьае	ʂ ħ aː j a
щыӏэцӏэ	ɕ ə ʔ a t͡sʼ a
къэлэдэс	q a ɮ a d a s
шыдкъолэн	ʃ ə d qʷ a l a n
зэдзэкӏын	z a d͡z a t͡ʃ ə n
дахэ	d aː x a
къуапсӏэ	qʷ aː p sʼ a
нэкъокъон	n a qʷ a qʷ a n
кӏьэнлъэ	kʲʼ a n ɬ a
гъэупысӏэн	ʁ a w p sʼ a n
гъочӏэгъ	ʁʷ a t͡ʂʼ a ʁ
тхьакӏын	t ħ a t͡ʃ ə n
хъэдз	χ a d͡z
шыблэ	ʃ ə b l a
узын	w ə z ə n
къудыин	qʷ ə d ə j ə n
ачъэжъ	aː χ t͡ʃ a ʐ
фэшӏыкӏэ	f a ʃʼ ə t͡ʃʼ a
гын	ɣ ə n
цэкъэн	t͡s a q a n
бгъодэхьан	b ʁʷ a d a a ħ aː n
блэгъэжъ	b l a ʁ a ʐ
зэгъэпэшын	z a ʔ a p a ʃ ə n
пыгъэхьан	p ə ʁ a ħ aː n
едэхэшӏэн	j a d a x a ʃʼ a n
тэкӏутэн	t a kʷʼ ə t a n
къэкӏорэтхьэмафэ	q a kʷʼ a r a t ħ a m aː f a
дэщыен	d a ɕ ə j a n
адыгэкъэб	aː d ə ɣ a q a b
цыпэ	t͡s ə p a
хьантхъупсы	ħ aː n t χʷ ə p s ə
шъхьэгьашъу	ʂ ħ a ɡʲ aː ʃʷ
жэхъуагъ	ʒ a χʷ aː ʁ
хьэтӏрэпӏый	ħ a t r a p ə j
махъчэ	m aː χ t͡ʃ a
нэкӏэон	n a t͡ʃʼ a w a n
джэлыгъон	d͡ʒ a ɬ ə ʁʷ a n
пчъын	p t͡ʃ ə n
ӏэджэбыжэ	ʔ a d͡ʒ a b ə ʒ a
дыкъын	d ə q ə n
пчыкӏэ	p t͡ʃ ə t͡ʃʼ a
къуамэ	qʷ aː m a
зэшӏожьын	z a ʃʷʼ ə ʑ ə n
езбырэу	j a z b ə r a w
пщыкӏэ	p ɕ ə t͡ʃʼ a
жъэжъэн	ʐ a ʐ a m
жэдэкон	ʒ a d a kʷ a n
шъутыгъуанэ	ʃʷ ə t ə ʁʷ aː n a
гъэщтын	ʁ a ɕ t ə n
гъэтхапэмаз	ʁ a t x aː p a m aː z
гущыӏэрые	ɡʷ ə ɕ ə ʔ a r ə j a
ӏэпыгъэтӏэрын	ʔ a p ə ʁ a tʼ a r ə n
къэцӏэтхын	q a t͡sʼ a t x ə n
гъэпрэзэн	ʁ a p r a z a n
сэмэркъэушӏыл	s a m a r q a w ʃʼ ə ɮ
нахьиу	n aː ħ j ə w
ныбжьыкъу	n ə b ʑ ə qʷ
чэфынчъэ	t͡ʃ a f ə n t͡ʂ a
къилъын	q ə j ɬ ə n
дышъэ	d ə ʂ a
бганэ	b ɣ aː n a
къыухьан	q ə w ə ħ aː n
тӏысыпӏэ	tʼ ə s ə pʼ a
шъыдгъо	ʂ ə d ʁʷ a
жакъэ	ʒ aː q a
лъэныкъуащ	ɬ a n ə qʷ aː ɕ
щэкӏы	ɕ a t͡ʃ ə
чылыс	t͡ʃ ə ɮ ə s
мэкӏошъэн	m a kʷʼ a ʂ a n
хэкъэхьын	x a q a ħ ə n
абэуйэй	a b a w j a j
ежьапӏэ	j a ʑ aː pʼ a
паӏо	p aː ʔʷ a
быдзашъу	b ə d͡z aː ʂʷ
гъэчэн	ʁ a t͡ʃ a n
гъэсагъ	ʁ a s aː ʁ
кущэрэхъ	kʷ ə ɕ a r a χ
хъашъо	χ aː ʃʷ a
гъучӏыбзыу	ʁʷ ə t͡ʂʼ ə b z ə w
нэшӏошӏ	n a ʃʷʼ a ʃʼ
хъатэ	χ aː t a
жъот	ʐʷ a t
джэнчы	d͡ʒ a n t͡ʃ ə
жьыф	ʑ ə f
лъэш	ɬ a ʃ
щэджэгъоуж	ɕ a d͡ʒ a ʁʷ a w ʒ
гьэгун	ɡʲ a ɡʷ ə n
ӏухьан	ʔʷ ə ħ aː n
шъодэны	ʃʷ a d ə n ə
гъоплъышъо	ʁʷ a p ɬ ə ʂʷ a
бэдзэгъалӏэ	b a d͡z a ʁ aː ɬʼ a
лыпцэ	l ə p t͡s a
зыгъэухьазырын	ħ aː z ə r ə n
пыпсыкӏын	p ə p s ə t͡ʃʼ ə n
ӏэлъмэкъ	ʔ a ɬ m a q
лъэпапцӏэ	ɬ a p aː p t͡sʼ a
зэтэухьэлэн	z a t a w ħ a l a n
ренэу	r a j n a w
гущыӏэухыгъэ	ɡʷ ə ɕ ə ʔ a w x ə ʁ a
хьаумэ	ħ aː w m a
хэгъэон	x a ʁ a w a n
пхъотэн	p χʷ a t a n
бжьыныфыкӏ	b ʑ ə n ə f ə kʲʼ
бгъушы	b ʁʷ ə ʃ ə
телӏэхьын	t a j ɬʼ a ħ ə n
мэпсэлъэн	m a p s a ɬ a n
чӏыкъу	t͡ʃ ə qʷ
гужъ	ɡʷ ə ʐ
баӏо	b aː ʔʷ a
пэкӏэрэплъын	p ə t͡ʃʼ a r a p ɬ ə n
икъугъэ	j ə qʷ ə ʁ a
цӏэпапкӏ	t͡sʼ a p aː p t͡ʃʼ
ечэнджэшын	j a t͡ʃ a n d͡ʒ a ʃ ə n
быдзылъ	b ə d͡z ə ɬ
лэгьэн	ɮ a ɡʲ a n
псыӏыгъыпӏэ	p s ə ʔ ə ʁ ə pʼ a
ӏалъмэкъ	ʔ aː ɬ m a q
джэнчыдз	d͡ʒ a n t͡ʃ ə d͡z
чӏыбзу	t͡ʃ ə b z ə w
блэшъутын	b l a ə ʂʷ t ə n
гъэжъэн	ʁ a ʐ a n
къэрэу	q a r a w
джэныкъу	d͡ʒ a n ə qʷ
гъэгумэкӏын	ʁ a ɡʷ ə m a t͡ʃ ə n
чэфын	t͡ʃ a f ə n
лъыӏэсын	ɬ ə ʔ a s ə n
мэунэзэн	m a w n a z a n
бжьыныуц	b ʑ ə n ə w t s
щэӏун	ɕ a ʔʷ ə n
зэкӏэкӏон	z a t͡ʃʼ a kʷʼ a n
хъуанэ	χʷ aː n a
енэсӏын	j a n a sʼ ə n
фэсакъын	f a s aː q ə n
жэӏулэлыгъ	ʒ a ʔʷ ə l a l ə ʁ
пцае	p t͡s aː j a
дэхьагъо	d a ħ aː ʁʷ a
шэкӏуахь	ʃ a kʷʼ aː ħ
джэхашъо	d͡ʒ a x aː ʃʷ a
тегощэн	ɡʷ a ɕ ə n
къаум	q aː w ə m
ятэш	j aː t a ʃ
ӏупчъэпчъэн	ʔʷ ə p t͡ʂ a p t͡ʂ a n
бгъэбзы	b ʁ a b z ə
бгъундж	b ʁʷ ə n d͡ʒ
мэкьэн	m a kʲ a n
уашхъо	w aː ʃ χʷ a
зэгъэфэн	z a ʁ a f a n
ӏонтагъ	ʔʷ a n t aː ʁ
пхъэтакъэ	p χ a t aː a q a
шӏэныгъэ	ʃʼ a n ə ʁ a
гъэмартын	ʁ a m aː r t ə n
къиныгъу	q ə j n ə ʁʷ
щазымэ	ɕ aː z ə m a
мэзай	m a z aː j
заулэ	z aː w l a
гъэунэн	ʁ a w ə n ə n
щымын	z a w ə ʂ a f ə n
ежь	j a ʑ
жьыуз	ʑ ə w z
гъогогъу	ʁʷ a ɡʷ a ʁʷ
уасэ	w aː s a
къэкӏухьан	q a kʷʼ ə ħ aː n
ӏапӏэ	ʔ aː pʼ a
амырмэ	aː m a r m a
мыхъатэ	m ə χ aː t a
жъогъуаплъэ	ʐʷ a ʁ aː p ɬ a
зыб	z ə b
мэлӏэн	m a ɬʼ a n
хытӏуал	x ə tʷʼ a l
хьэкъухъ	ħ a qʷ ə ʐ
уджэгъун	w ə d͡ʒ a ʁʷ ə n
чап	t͡ʃ aː p
пытӏэрын	p ə tʼ a r ə n
бгъодэкӏын	b ʁʷ a d a t͡ʃʼ ə n
еон	j a w a n
корэныгу	kʷ a r a n ə ɡʷ
тэгъэцӏэшъутыкӏын	t a ʁ a t͡sʼ a ʃʷ t ə t͡ʃʼ ə n
лӏэужыгъо	ɬʼ a w ʒ ə ʁʷ a
тхьэкӏумэ	t ħ a kʷʼ m a
ипхъыхьан	j ə p χ ə ħ aː n
былымылӏэ	b ə l ə m ə ɬʼ a
ебэнын	j a b a n ə n
шэнынчъэ	ʃ a n t͡ʂ a
ышъхьагъ	ə ʂ ħ aː ʁ
бэдзэнэшъу	b a d͡z a n a ʂʷ
шъуял	ʃʷ ə j aː ɮ
гухэкӏын	ɡʷ ə x a t͡ʃʼ ə n
къарэу	q aː r a w
угъонын	w ə ʁʷ a n ə n
бзэджашӏэ	b z a d͡ʒ aː ʃʼ a
чӏэсэн	t͡ʂʼ a s a n
агъунэр	aː ʁʷ ə n a r
бгыкъу	b ɣ ə qʷ
усын	w s ə n
хьадэгъущэ	ħ aː d a ʁʷ ə ɕ a
мэдрэ	m a d r a
жэкӏэпэпкъ	ʒ a t ʃʼ a p a p q
гуапэ	ɡʷ aː p a
шъхьэпылъапӏэ	ʂ ħ a p ə ɬ aː pʼ a
бгъэӏас	b ʁ a ʔ aː s
жэмыӏан	ʒ a m ə ʔ aː n
лъэмыдж	ɬ a m ə d͡ʒ
жьыӏэшӏу	ʑ ə ʔ a ʃʷʼ
бзушхъу	b z ə w ʃ χʷ
жъоныгъуакӏмаз	ʒʷ a n ə ʁʷ aː t͡ʃʼ m aː z
щыхьэн	ɕ ə ħ a n
мэпщэн	m a p ɕ a n
коил	kʷ a j ə l
лъэкӏэпӏащ	ɬ a t͡ʃʼ a pʼ aː ɕ
амдэз	aː m d a z
кӏьэй	kʲʼ a j
пшъэшъэжъые	p ʂ a ʂ a ʐ ə j a
хэгъошъхьаӏу	x a ʁʷ a ʂ ħ a ʔʷ
куахъо	kʷ aː χʷ a
щыбжьый	ɕ ə b ʑ ə j
блэплъын	b l a p ɬ ə n
егъэпхыгъ	x a ʃʼ aː ʁ
бэлэрыгъ	b a l a r ə ʁ
шъоны	ʃʷ a n ə
блэбыбыкӏын	b l a b ə b ə t͡ʃʼ ə n
шъхьапцӏэ	ʂ ħ aː p t͡sʼ a
убын	w ə b ə
шъэджашъ	ʂ a d͡ʒ aː ʂ
чъэн	t ʂ a n
мэщы	m a ɕ
фэпшэн	f a p ʃ a n
лӏапӏэ	ɬʼ aː pʼ a
